*錒 *锕
*鍍 *镀

*耑 *端

*緞 *缎

*鍛 *锻

*斷 *断

*籪 *簖

*兌 *兑

*隊 *队

*對 *对

*懟 *怼

*鐓 *镦

*墪 *墩

*噸 *吨

*躉 *趸

*鈍 *钝

*頓 *顿

*遯 *遁

*燉 *炖

*奪 *夺

*鐸 *铎

*朶 *朵

*綞 *缍

*嚲 *亸

*垜 *垛

*跥 *跺

*飿 *饳

*墮 *堕

*娿 *婀

*峩 *峨

*訛 *讹

*鋨 *锇

*額 *额

*鵝 *鹅

*鵞 *鹅

*譌 *讹

*惡 *恶

*噁 *恶

*噁 *

*戹 *厄

*阨 *厄

*堊 *垩

*軛 *轭

*蕚 *萼

*餓 *饿

*諤 *谔

*閼 *阏

*鍔 *锷

*顎 *颚

*鰐 *鳄

*鶚 *鹗

*齶 *腭

*鱷 *鳄

*兒 *儿

*鮞 *鲕

*鴯 *鸸

*爾 *尔

*鉺 *铒

*餌 *饵

*邇 *迩

*貳 *贰

*發 *发

*髪 *发

*罰 *罚

*閥 *阀

*罸 *罚

*灋 *法

*琺 *珐

*髮 *发

*颿 *帆

*飜 *翻

*凣 *凡

*釩 *钒

*煩 *烦

*緐 *繁

*繙 *翻

*礬 *矾

*鐇 *𫔍

*鷭 *

*氾 *泛

*汎 *泛

*販 *贩

*飯 *饭

*範 *范

*鈁 *钫

*魴 *鲂

*倣 *仿

*紡 *纺

*訪 *访

*髣 *仿

*飛 *飞

*緋 *绯

*騑 *

*鯡 *鲱

*誹 *诽

*疿 *痱

*費 *费

*廢 *废

*鐨 *镄

*紛 *纷

*雰 *氛

*墳 *坟

*豶 *豮

*僨 *偾

*憤 *愤

*奮 *奋

*糞 *粪

*鱝 *鲼

*風 *风

*峯 *峰

*楓 *枫

*瘋 *疯

*碸 *砜

*鋒 *锋

*豐 *丰

*灃 *沣

*馮 *冯

*縫 *缝

*諷 *讽

*鳳 *凤

*賵 *赗

*伕 *夫

*鈇 *𫓧

*膚 *肤

*麩 *麸

*彿 *佛

*紱 *绂

*紼 *绋

*粰 *麸

*鳧 *凫

*複 *复

*韍 *韨

*輻 *辐

*襆 *幞

*輔 *辅

*撫 *抚

*坿 *附

*訃 *讣

*負 *负

*婦 *妇

*復 *复

*賦 *赋

*駙 *驸

*縛 *缚

*鮒 *鲋

*賻 *赙

*鰒 *鳆

*嘠 *嘎

*釓 *钆

*隑 *

*該 *该

*賅 *赅

*匃 *丐

*匄 *丐

*鈣 *钙

*蓋 *盖

*槩 *概

*亁 *乾

*尲 *尴

*尷 *尴

*桿 *杆

*稈 *秆

*趕 *赶

*鱤 *鳡

*紺 *绀

*幹 *干

*榦 *干

*贛 *赣

*阬 *坑

*岡 *冈

*疘 *肛

*剛 *刚

*棡 *㭎

*綱 *纲

*鋼 *钢

*崗 *岗

*槓 *杠

*戇 *戆

*臯 *皋

*橰 *槔

*餻 *糕

*槀 *稿

*縞 *缟

*鎬 *镐

*暠 *皓

*誥 *诰

*鋯 *锆

*肐 *胳

*紇 *纥

*閤 *合

*擱 *搁

*謌 *歌

*鴿 *鸽

*閣 *阁

*鎘 *镉

*個 *个

*箇 *个

*鉻 *铬

*給 *给

*畊 *耕

*賡 *赓

*鶊 *鹒

*綆 *绠

*骾 *鲠

*鯁 *鲠

*亙 *亘

*宮 *宫

*躳 *躬

*篢 *

*龔 *龚

*鞏 *巩

*貢 *贡

*鈎 *钩

*溝 *沟

*鉤 *钩

*緱 *缑

*韝 *鞴

*夠 *够

*搆 *构

*詬 *诟

*構 *构

*覯 *觏

*購 *购

*軲 *轱

*鴣 *鸪

*轂 *毂

*鶻 *鹘

*詁 *诂

*鈷 *钴

*皷 *鼓

*穀 *谷

*餶 *馉

*鵠 *鹄

*蠱 *蛊

*僱 *雇

*錮 *锢

*鯝 *鲴

*顧 *顾

*颳 *刮

*鴰 *鸹

*剮 *剐

*掛 *挂

*詿 *诖

*枴 *拐

*柺 *拐

*恠 *怪

*関 *关

*關 *关

*鰥 *鳏

*觀 *观

*琯 *管

*筦 *管

*舘 *馆

*館 *馆

*毌 *贯

*貫 *贯

*慣 *惯

*摜 *掼

